"block","streetName","streetType","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","class","pavement","streetID"
0,"KINGSLEY","PL","",5,3,3,606,0,"6/04","","","Local","",12572861
100,"ABERDEEN","TER","",6,3,4,530,22,"3/04","1988","O","Local","3",12581174
100,"ACADEMY","PL","",6,3,4,588,28,"12/02","","O","Local","3",12576512
100,"ACADEMY","ST","",8,4,5,325,25,"12/02","1996","O","Local","3",12571714
100,"ADAMS","ST","E",9,5,5,176,64,"3/03","2000","F","Local","6",12577644
100,"ADAMS","ST","W",8,4,4,352,64,"2/03","2000","F","Local","6",12573680
100,"AINSLEY","DR","",7,4,3,411,26,"3/04","","F","CO","3",12576914
100,"AINSLEY","DR","",7,4,3,411,26,"3/04","","F","CO","3",12576911
100,"ALANSON","RD","",10,5,5,880,18,"12/04","2004","F","Local","6",12572942
100,"ALANSON","RD","",10,5,5,880,18,"12/04","2004","F","Local","6",12572940
100,"ALANSON","RD","",10,5,5,880,18,"12/04","2004","F","Local","6",12571891
100,"ALBERT","RD","",7,4,3,327,27,"1/04","","O","Local","3",12578942
100,"ALDEN","ST","",5,3,4,792,26,"3/04","1989","O","Local","3",12576956
100,"ALEXANDER","AVE","",3,2,1,686,27,"3/04","","F","Local","4",12577333
100,"ALMOND","ST","",7,3,4,150,54,"2/04","1993","F","Local","6",12578006
100,"ALMOND","ST","",7,3,4,150,54,"2/04","1993","F","Local","6",12577993
100,"ALTON","ST","",10,5,5,1050,25,"12/02","2002","O","Local","3",13011484
100,"ALTON","ST","",10,5,5,1050,25,"12/02","2002","O","Local","3",13002170
100,"ALVORD","ST","S",5,3,3,352,32,"3/03","1987","F","Local","6",12580079
100,"AMES","AVE","",7,3,4,323,26,"3/04","","O","Local","3",12571734
100,"AMHERST","AVE","",5,3,2,557,25,"1/03","","F","Local","4",12576881
100,"AMIDON","DR","",7,3,4,250,27,"1/03","1994","F","Local","4",13002105
100,"AMY","ST","",7,3,4,792,27,"3/03","1994","O","Local","3",12573417
100,"ANDERSON","AVE","",8,4,5,1150,25,"3/04","1999","O","Local","3",12576600
100,"ANDOVER","RD","",8,4,5,323,21,"3/04","","O","Local","3",12577527
100,"ARCH","ST","",10,3,4,546,18,"11/02","2002","O","Local","3",12581146
100,"ARCHER","RD","",8,4,4,845,28,"3/04","1999","O","Local","3",12572325
100,"ARDEN","DR","",8,4,5,323,28,"3/04","2001","O","Local","3",12571869
100,"ARDMORE","PL","",7,3,5,317,21,"3/03","1998","O","Local","3",12580665
100,"ARDMORE","PL","",7,3,5,317,21,"3/03","1998","O","Local","3",12580667
100,"ARGONNE","DR","",5,2,3,247,26,"3/04","1985","O","Local","3",12572899
100,"ARGYLE","AVE","",6,3,4,175,22,"2/04","1989","O","Local","3",12580767
100,"ARGYLE","TER","",3,2,2,360,25,"3/04","1994","F","Local","3",12573198
100,"ARLINGTON","AVE","",5,2,3,350,36,"2/03","1994","F","Local","6",12572035
100,"ARMSTRONG","PL","",9,4,5,1330,27,"3/04","1995","O","Local","3",12571903
100,"ARNTS","PL","",6,3,4,686,28,"3/03","1998","O","Local","3",12575521
100,"ARSENAL","DR","",7,3,5,495,18,"12/02","1996","O","Local","3",12576562
100,"ASH","ST","",6,3,3,411,30,"2/04","1999","F","Local","6",12575114
100,"ASHDALE","AVE","",6,3,4,716,27,"3/04","1988","O","Local","3",12581076
100,"ASHWORTH","PL","",5,4,2,600,27,"3/04","1991","F","Local","6",12578137
100,"ATKINSON","AVE","",9,5,5,739,23,"3/04","","O","Local","3",12572894
100,"ATLANTIC","AVE","",NA,NA,NA,NA,NA,"ntic","","","Local","3",12576699
100,"AUSTIN","AVE","",8,5,3,1637,23,"3/04","2003","O","Local","3",12572328
100,"AVERY","AVE","S",7,4,5,455,36,"3/03","1996","F","CO","6",12572698
100,"AVERY","AVE","S",7,4,5,455,36,"3/03","1996","F","CO","6",13010365
100,"AVERY","AVE","S",7,4,5,455,36,"3/03","1996","F","CO","6",13010364
100,"AVOCA","ST","",5,2,3,422,27,"3/04","","O","Local","3",12572709
100,"AVON","RD","",8,4,5,685,28,"3/04","2001","O","Local","3",12581144
100,"AVONDALE","PL","",10,5,5,561,25,"12/02","2002","F","Local","4",12577635
100,"BAKER","AVE","",8,4,4,605,27,"3/04","1997","F","Local","6",12577267
100,"BALDWIN","AVE","",7,4,3,1007,27,"12/02","1991","O","Local","3",12571994
100,"BALL","CIR","",5,3,4,1031,26,"3/04","","O","Local","3",12576912
100,"BALLANTYNE","RD","",10,5,5,805,31,"12/04","2004","F","Local","4",13028538
100,"BALLANTYNE","RD","",10,5,5,805,31,"12/04","2004","F","Local","4",12576746
100,"BALLARD","AVE","",6,3,3,375,NA,"2/03","","O","Local","3",12573229
100,"BARKER","AVE","",9,5,5,178,30,"3/04","2001","O","Local","3",12573771
100,"BARNES","AVE","",6,3,4,317,27,"12/02","1991","O","Local","3",12571901
100,"BARNES","AVE","",6,3,4,317,27,"12/02","1991","O","Local","3",12571902
100,"BARRINGTON","RD","",8,4,4,411,30,"12/02","1996","O","Local","3",12579593
100,"BASIN","ST","",10,5,5,455,30,"11/04","2004","F","Local","4",12575165
100,"BASSETT","ST","",4,3,3,616,27,"1/03","","F","Local","3",13017590
100,"BASSETT","ST","",4,3,3,616,27,"1/03","","F","Local","3",12578184
100,"BASSETT","ST","",4,3,3,616,27,"1/03","","F","Local","3",12578207
