Department,Sub-Department,Billing Classification,Billing Code,"Description
",2011/2012,2012/2013,2012/2013,2013/2014
COMMON COUNCIL,COMMON COUNCIL,100 PERSONAL SERVICES,101,Salaries,"$393,862","$401,291 ","$398,896 ","$402,412"
COMMON COUNCIL,COMMON COUNCIL,200 EQUIPMENT,202,Office Equipment & Furnishings,$0,$300 ,$100 ,$100
COMMON COUNCIL,COMMON COUNCIL,400 CONTRACTUAL EXPENSES,403,Office Supplies,"$2,062 ","$2,500 ","$2,700 ","$2,500"
COMMON COUNCIL,COMMON COUNCIL,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$0 ,$300,"$1,820 ",$300
COMMON COUNCIL,COMMON COUNCIL,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$3,744 ","$27,800 ","$4,500","$27,800"
COMMON COUNCIL,COMMON COUNCIL,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$803 ,"$1,000 ",$700 ,"$1,000"
COMMON COUNCIL,COMMON COUNCIL,400 CONTRACTUAL EXPENSES,--,TOTAL:,"$400,471","$433,191 ","$408,716 ","$434,112"
CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,100 PERSONAL SERVICES,101,Salaries,"$12,871 ","$92,100 ","$76,945 ","$88,388"
CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,200 EQUIPMENT,202,Office Equipment & Furnishings,$0 ,"$6,000 ","$4,000 ","$6,000"
CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,400 CONTRACTUAL EXPENSES,403,Office Supplies,$0,"$1,000","$2,000 ","$1,000"
CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$0,$400,$0,$400
CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$28,695","$17,500 ","$1,500","$27,500"
CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$771 ,"$1,500 ","$2,500 ","$5,000"
CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,400 CONTRACTUAL EXPENSES,418,Postage and Freight,$0,$500,$0,$0
CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,400 CONTRACTUAL EXPENSES,-,TOTAL:,"$42,337 ","$119,000 ","$86,945 ","$128,288"
EXECUTIVE,OFFICE OF THE MAYOR,100 PERSONAL SERVICES,101,Salaries,"$400,265","$425,714 ","$477,502 ","$501,618"
EXECUTIVE,OFFICE OF THE MAYOR,200 EQUIPMENT,202,Office Equipment & Furnishings,$21 ,"$4,000",$0 ,"$2,000"
EXECUTIVE,OFFICE OF THE MAYOR,400 CONTRACTUAL EXPENSES,403,Office Supplies,"$3,386","$10,000 ","$5,000 ","$10,000"
EXECUTIVE,OFFICE OF THE MAYOR,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$102,050 ","$81,290","$19,335 ","$18,000"
EXECUTIVE,OFFICE OF THE MAYOR,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development","$7,641","$17,000","$8,000","$17,000"
EXECUTIVE,OFFICE OF THE MAYOR,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$0,$600,$0,$600
EXECUTIVE,OFFICE OF THE MAYOR,400 CONTRACTUAL EXPENSES,,TOTAL:,"$513,363 ","$538,604 ","$509,837 ","$549,218"
EXECUTIVE,OFFICE OF ADMINISTRATION,100 PERSONAL SERVICES,101,Salaries,"$141,074","$141,612 ","$141,621 ","$142,701"
EXECUTIVE,OFFICE OF ADMINISTRATION,400 CONTRACTUAL EXPENSES,403,Office Supplies,$0,$200,$0,$200
EXECUTIVE,OFFICE OF ADMINISTRATION,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$0,$500,$0,$500
EXECUTIVE,OFFICE OF ADMINISTRATION,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$141,074 ","$142,312 ","$141,621 ","$143,401"
EXECUTIVE,OFFICE OF PLANNING & SUSTAINABILITY,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$386,456 ","$446,109 ","$396,487","$77,283"
EXECUTIVE,OFFICE OF PLANNING & SUSTAINABILITY,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$235 ,"$4,500 ","$4,500 ","$4,500"
EXECUTIVE,OFFICE OF PLANNING & SUSTAINABILITY,400 CONTRACTUAL EXPENSES,491,Less: Reimbursement From Other Funds,"($211,591) ","($290,012) ","($251,284) ","($20,000)"
EXECUTIVE,OFFICE OF PLANNING & SUSTAINABILITY,400 CONTRACTUAL EXPENSES,,TOTAL:,"$175,100 ","$160,597","$149,703 ","$61,783"
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF BUDGET,100 PERSONAL SERVICES,101,Salaries,"$296,981 ","$296,819 ","$296,819 ","$297,791"
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF BUDGET,400 CONTRACTUAL SERVICES,403,Office Supplies,$382 ,"$1,000",$900 ,"$1,200"
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF BUDGET,400 CONTRACTUAL SERVICES,415,"Rental, Professional & Contractual Services","$35,565 ","$57,303 ","$55,810 ","$60,293"
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF BUDGET,400 CONTRACTUAL SERVICES,416,"Travel, Training & Development","$1,203 ","$1,200 ","$1,200","$2,500"
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF BUDGET,400 CONTRACTUAL SERVICES,-,TOTAL: ,"$334,131","$356,322 ","$354,729 ","$361,784"
EXECUTIVE,OFFICE OF MANAGEMENT AND BUDGET: DIVISION OF QUALITY CONTROL (SYRASTAT),400 CONTRACTUAL SERVICES,403,,"$1,045",$0,$0,$0
