Department,Sub-Department,Major Functions,% of Budget,Activity Indicators,2011/2012,2012/2013,2013/2014
COMMON COUNCIL,-,Legislative,72%,Council Meetings (Regular),23,23,23
COMMON COUNCIL,-,Legislative,72%,Council Meetings (Special),7,7,7
COMMON COUNCIL,-,Legislative,72%,Agenda Study Sessions,46,46,46
COMMON COUNCIL,-,Legislative,72%,Committee Meetings,41,45,45
COMMON COUNCIL,-,Legislative,72%,Public Hearings,17,20,20
COMMON COUNCIL,-,Legislative,72%,Ordinances Adopted,745,750,750
COMMON COUNCIL,-,Legislative,72%,Resolutions Adopted,24,24,25
COMMON COUNCIL,-,Legislative,72%,Local Laws Adopted,12,12,12
COMMON COUNCIL,-,Legislative,72%,Ordinances or Local Laws Defeated,1,1,1
COMMON COUNCIL,-,Administrative ,28%,Purchase Transactions,23,25,25
COMMON COUNCIL,-,Administrative ,28%,Constituent Calls/Letters,5000,5000,5000
COMMON COUNCIL,-,Administrative ,28%,Payrolls Processed,26,26,26
CITIZEN REVIEW BOARD,-,Operations,70%,"Complaints Filed, Investigated and Reviewed; Panel Hearing",23,85,90
CITIZEN REVIEW BOARD,-,Operations,70%,Public Board Meetings,6,12,12
CITIZEN REVIEW BOARD,-,Board Support &Training,15%,Training for Board Members and Administrator/Staff,3,5,10
CITIZEN REVIEW BOARD,-,Community Activities,10%,Community Outreach Events,0,5,5
CITIZEN REVIEW BOARD,-,Community Activities,10%,Public Awareness Mailings/Literature,1,2,3
CITIZEN REVIEW BOARD,-,Public Information,5%,Monthly Statistical Update Reports,1,12,12
CITIZEN REVIEW BOARD,-,Public Information,5%,Annual/Quarterly Reports,0/0,1/ 3,1/ 3
EXECUTIVE,Office of the Mayor,-,-,-,-,-,-
EXECUTIVE,Office of Administration,-,-,-,-,-,-
EXECUTIVE,Office of Planning & Sustainability,Sustainability Initiatives,10%,-,24,26,26
EXECUTIVE,Office of Planning & Sustainability,Execution of Planning Projects,15%,-,14,15,15
EXECUTIVE,Office of Planning & Sustainability,Development of City Plans,40%,-,7,7,5
EXECUTIVE,Office of Planning & Sustainability,Assistance in Departmental Plan Development,35%,-,7,7,4
EXECUTIVE,Office of Management & Budget- Division of Budget,Financial Management/Planning,77%,"City Department Budgets Analyzed, Prepared & Reviewed",47,47,47
EXECUTIVE,Office of Management & Budget- Division of Budget,Financial Management/Planning,77%,Multi-Year Capital Improvement Program Prepared,1,1,1
EXECUTIVE,Office of Management & Budget- Division of Budget,Financial Management/Planning,77%,Annual Allotment Schedule Prepared,1,1,1
EXECUTIVE,Office of Management & Budget- Division of Budget,Financial Management/Planning,77%,Financial Impact Statements,23,24,23
EXECUTIVE,Office of Management & Budget- Division of Budget,Financial Management/Planning,77%,Budget Amendments,5,11,6
EXECUTIVE,Office of Management & Budget- Division of Budget,Financial Management/Planning,77%,Monthly Revenue and Expenditure Status Reports,12,12,12
EXECUTIVE,Office of Management & Budget- Division of Budget,Financial Management/Planning,77%,Multi-Year Financial Plan,1,1,1
EXECUTIVE,Office of Management & Budget- Division of Budget,Financial Management/Planning,77%,Mid-Year Budget Report,1,1,1
EXECUTIVE,Office of Management & Budget- Division of Budget,Management and Productivity,14%,Analysis & Review of Budget Adjustments,752,850,800
EXECUTIVE,Office of Management & Budget- Division of Budget,Capital Finance/Debt Planning,9%,Bonding and Fund Investment Notes Issued/Reviewed,3,3,4
EXECUTIVE,Office of Management & Budget- Division of Budget,Capital Finance/Debt Planning,9%,Serial Bonds Issued,3,1,2
EXECUTIVE,Office of Management & Budget- Division of Budget,Capital Finance/Debt Planning,9%,Projects Being Financed,25,25,28
EXECUTIVE,Office of Management & Budget- Division of Budget,Capital Finance/Debt Planning,9%,Review and Analysis of Debt Service,33,33,33
EXECUTIVE,Office of Management & Budget- Division of Quality Control,Research & Analysis ,50%,In-Depth Projects,0,0,0
EXECUTIVE,Office of Management & Budget- Division of Quality Control,Targeted Departmental Review,40%,Divisions/Bureaus/Lines of Business Analyzed,0,0,0
EXECUTIVE,Office of Management & Budget- Division of Quality Control,Constituent Service Monitoring,5%,Concerns/Complaints Investigated,0,0,0
EXECUTIVE,Office of Management & Budget- Division of Quality Control,Public Presentations,5%,SyraStat Presentations for Public,0,0,0
EXECUTIVE,Office of Management & Budget- Division of Purchase,Specification Preparation and Contract Award,100%,Contracts Awarded (Construction and Commodity),302,55,55
EXECUTIVE,Office of Management & Budget- Division of Purchase,Specification Preparation and Contract Award,100%,RFP,25,25,25
EXECUTIVE,Office of Management & Budget- Division of Purchase,Specification Preparation and Contract Award,100%,Agreements Awarded,46,35,35
EXECUTIVE,Office of Management & Budget- Division of Purchase,Specification Preparation and Contract Award,100%,Insurance,N/A,N/A,N/A
EXECUTIVE,Office of Personnel and Labor Relations,Labor Relations,32%,Contract Negotiations,9,9,9
EXECUTIVE,Office of Personnel and Labor Relations,Labor Relations,32%,Grievances Reviewed,50,55,60
EXECUTIVE,Office of Personnel and Labor Relations,Labor Relations,32%,Arbitration Hearings,9,10,12
EXECUTIVE,Office of Personnel and Labor Relations,Personnel Services,30%,Residency Compliance Letters,20,20,3
EXECUTIVE,Office of Personnel and Labor Relations,Personnel Services,30%,Affirmative Action Reports,1,1,1
EXECUTIVE,Office of Personnel and Labor Relations,Personnel Services,30%,Diversity Awareness Training Sessions,70,72,50
EXECUTIVE,Office of Personnel and Labor Relations,Personnel Services,30%,Civil Service Reviews,550,600,600
EXECUTIVE,Office of Personnel and Labor Relations,Personnel Services,30%,Civil Service Forms Processed,1400,1400,1400
EXECUTIVE,Office of Personnel and Labor Relations,Personnel Services,30%,Unemployment Insurance Claims,106,160,160
EXECUTIVE,Office of Personnel and Labor Relations,Personnel Services,30%,Unemployment Insurance Hearings,9,10,10
EXECUTIVE,Office of Personnel and Labor Relations,Personnel Services,30%,Benefit Consultations,1200,1000,1000
EXECUTIVE,Office of Personnel and Labor Relations,Personnel Services,30%,Employment/Data Forms Processed,172,175,175
EXECUTIVE,Office of Personnel and Labor Relations,Risk Management ,31%,Health Insurance Administration: --Health Contracts,3600,3600,3600
EXECUTIVE,Office of Personnel and Labor Relations,Risk Management ,31%,-Dental Contracts,2020,2020,1800
EXECUTIVE,Office of Personnel and Labor Relations,Risk Management ,31%,-Contract Changes Processed,2540,2540,5000
EXECUTIVE,Office of Personnel and Labor Relations,Risk Management ,31%,-Phone Inquiries,5000,8000,6500
EXECUTIVE,Office of Personnel and Labor Relations,Risk Management ,31%,--Contracts Administered,5,5,4
EXECUTIVE,Office of Personnel and Labor Relations,Risk Management ,31%,Health Collections: --Amount Collected,1.200.000,650.000,1.500.000
EXECUTIVE,Office of Personnel and Labor Relations,Risk Management ,31%,COBRA Administration: --Contracts Maintained,200,150,150
EXECUTIVE,Office of Personnel and Labor Relations,Risk Management ,31%,Workers Compensation Administration: --Claims Processed,315,250,250
EXECUTIVE,Office of Personnel and Labor Relations,Health & Safety Identification & Referral,7%,Employee Assistance Program Referrals,130,125,150
EXECUTIVE,Bureau of Research,Grants ,60%,Number of Grant Applications/Revisions,43,40,40
EXECUTIVE,Bureau of Research,Grants ,60%,Number of Grants Monitored/Managed,40,40,50
EXECUTIVE,Bureau of Research,Grants ,60%,Number of Awards/Designations,3,5,6
EXECUTIVE,Bureau of Research,Grants ,60%,Number of Legislative Member Items Processed,8,8,9
EXECUTIVE,Bureau of Research,Grants ,60%,Technical Assistance Incidence,90,90,90
EXECUTIVE,Bureau of Research,Special Projects,25%,Number of Special Projects Undertaken,20,22,22
EXECUTIVE,Bureau of Research,Special Projects,25%,City Web Site Support,1100,1300,1300
EXECUTIVE,Bureau of Research,Special Projects,25%,City Promotional Activities and Special Events,8,7,10
EXECUTIVE,Bureau of Research,Special Projects,25%,"Advisory Committees, Boards and Commissions",20,15,18
EXECUTIVE,Bureau of Research,Special Projects,25%,Files Management Grants,1,1,2
EXECUTIVE,Bureau of Research,Special Projects,25%,Heritage Area Program and Administrative Activities,4,5,6
EXECUTIVE,Bureau of Research,Special Projects,25%,"Daily E-Mail, Phone and Mail Responses to Constituents (per day)",12,15,15
EXECUTIVE,Bureau of Research,Special Projects,25%,Special Research Projects,15,25,15
EXECUTIVE,Bureau of Research,Records Management,15%,Records Inventoried (Cubic Feet),600,500,500
EXECUTIVE,Bureau of Research,Records Management,15%,Departmental and City Court Records Stored (Cubic Feet),6800,6000,6000
EXECUTIVE,Bureau of Research,Records Management,15%,Departmental and City Court Records Retrieval Requests,220,250,250
EXECUTIVE,Bureau of Information Technology,Administration,12%,Number of People,.5,.5,1.5
EXECUTIVE,Bureau of Information Technology,Programming,24%,Number of People,2,2,1.5
EXECUTIVE,Bureau of Information Technology,Web-based Programming,6%,Number of People,.5,.5,.5
EXECUTIVE,Bureau of Information Technology,Server and Networking,16%,Number of People,1.5,1.0,2.75
EXECUTIVE,Bureau of Information Technology,PC & Network Support,24%,Number of People,1.5,1.5,2.5
EXECUTIVE,Bureau of Information Technology,AS/400 Operations,12%,Number of People,1,1,1
EXECUTIVE,Bureau of Information Technology,Clerical,6%,Number of People,.5,.5,.25
FINANCE,Bureau of Treasury,Tax Billing & Collection,25%,Tax Bills Prepared (City Only),42300,42300,42300
FINANCE,Bureau of Treasury,Tax Billing & Collection,25%,Tax Bills Distributed (City & County),84600,84600,84600
FINANCE,Bureau of Treasury,Tax Billing & Collection,25%,Duplicate Tax Bills Prepared & Distributed(City and County),37000,37000,37000
FINANCE,Bureau of Treasury,Tax Billing & Collection,25%,Delinquent Notices Mailed,12000,12000,12000
FINANCE,Bureau of Treasury,Tax Billing & Collection,25%,Tax Searches,2100,2500,2500
FINANCE,Bureau of Treasury,Tax Billing & Collection,25%,Tax Sale Certificates,8400,8600,10000
FINANCE,Bureau of Treasury,Tax Billing & Collection,25%,Phone Calls,26000,26000,26000
FINANCE,Bureau of Treasury,Tax Billing & Collection,25%,Person to Person Contacts,44000,44000,44000
FINANCE,Bureau of Treasury,Tax Billing & Collection,25%,Late Payment Postcards,33000,33000,33000
FINANCE,Bureau of Treasury,Delinquent Tax Enforcement,31%,Cases Opened,200,400,1400
FINANCE,Bureau of Treasury,Delinquent Tax Enforcement,31%,Certificates of Ownership Ordered,200,350,1000
FINANCE,Bureau of Treasury,Delinquent Tax Enforcement,31%,Fee Appraisals Hired,150,150,150
FINANCE,Bureau of Treasury,Delinquent Tax Enforcement,31%,Deeds Taken,100,250,850
FINANCE,Bureau of Treasury,Delinquent Tax Enforcement,31%,Properties Sold,100,250,850
FINANCE,Bureau of Treasury,Delinquent Tax Enforcement,31%,Bankruptcy,700,700,1000
FINANCE,Bureau of Treasury,Delinquent Tax Enforcement,31%,Delinquent Trust Notices,400,400,400
FINANCE,Bureau of Treasury,Delinquent Tax Enforcement,31%,T-602 Overpayment Notices,1500,1500,1600
FINANCE,Bureau of Treasury,Delinquent Tax Enforcement,31%,Pilot and Shelter Billing,45,50,60
FINANCE,Bureau of Treasury,General Accounting,10%,Revenue Deposits Processed,11500,11500,11500
FINANCE,Bureau of Treasury,General Accounting,10%,Tax Trust Fund Accounts Administered,125,125,125
FINANCE,Bureau of Treasury,General Accounting,10%,New Sidewalk & Vault Notices,160,244,244
FINANCE,Bureau of Treasury,Central Mailing and Messenger,28%,Bank & Mail Drops & Pickups,2300,2300,2300
FINANCE,Bureau of Treasury,Central Mailing and Messenger,28%,Pieces of Mail Processed,40000,40000,40000
FINANCE,Bureau of Treasury,Central Mailing and Messenger,28%,Stuffing of Envelopes,200000,200000,200000
