Department,Office,Division,2015 - Actual,2016 - Authorized,2016 - Projected,2017 - Adopted
COMMON COUNCIL,COMMON COUNCIL,COMMON COUNCIL,"421,623","445,951","445,089","467,457"
CITIZENS REVIEW BOARD,CITIZENS REVIEW BOARD,CITIZENS REVIEW BOARD,"127,750","133,900","128,563","137,885"
EXECUTIVE DEPARTMENT,OFFICE OF THE MAYOR,OFFICE OF THE MAYOR,"504,615","561,631","476,512","562,568"
EXECUTIVE DEPARTMENT,OFFICE OF ADMINISTRATION,OFFICE OF ADMINISTRATION,"146,595","149,747","135,699","151,235"
EXECUTIVE DEPARTMENT,OFFICE OF MANAGEMENT AND BUDGET,OFFICE OF MANAGEMENT AND BUDGET,"375,474","398,855","472,565","488,340"
EXECUTIVE DEPARTMENT,OFFICE OF MANAGEMENT AND BUDGET,OFFICE OF INNOVATION,"41,302","33,682","20,863","123,281"
EXECUTIVE DEPARTMENT,OFFICE OF MANAGEMENT AND BUDGET,DIVISION OF PURCHASE,"44,332","45,550","44,798","45,529"
EXECUTIVE DEPARTMENT,OFFICE OF PERSONNEL AND LABOR RELATIONS,OFFICE OF PERSONNEL AND LABOR RELATIONS,"458,485","606,882","552,636","597,897"
EXECUTIVE DEPARTMENT,BUREAU OF RESEARCH,BUREAU OF RESEARCH,"194,734","214,599","216,360","223,580"
EXECUTIVE DEPARTMENT,SYRACUSE OPPORTUNITY WORKS,SYRACUSE OPPORTUNITY WORKS,"59,294","64,900","64,180","75,200"
EXECUTIVE DEPARTMENT,BUREAU OF INFORMATION TECHNOLOGY,BUREAU OF INFORMATION TECHNOLOGY,"2,324,776","1,425,555","1,354,385","1,528,178"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,BUREAU OF THE TREASURY,"618,292","687,689","670,726","734,005"
DEPARTMENT OF FINANCE,BUREAU OF ACCOUNTS,BUREAU OF ACCOUNTS,"658,142","730,959","746,123","737,323"
