Department,Office,Division,Income Terms,2015 - Actual,2016 - Authorized,2016 - Projected,2017 - Adopted
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,Abstract Fees,"67,612","66,000","67,000","65,000"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,Dupicate Tax Bill Fee,"17,874","15,000","20,000","17,000"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,County Tax Collection Fee,"701,393","665,000","675,000","705,000"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,Parking Restitution Surcharge,"995,510","1,122,000","1,030,000","1,030,000"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,Handicapped Parking Surcharge,"18,402","19,000","20,000","18,000"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,License Comm. Bingo Licenses,"1,538","2,400","2,000","1,600"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,Bingo Receipts,"3,649","3,600","3,000","3,500"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,License Comm. Games of Chance Receipts,"2,295","2,000","2,000","2,000"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,Licenses,"179,331","160,000","160,000","160,000"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,Licenses Comm. Games of Chance Licenses,"200,000","240,000","250,000","200,000"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,Fines & Penalties Viol/Traffic,"177,963","225,000","150,000","150,000"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,Parking Ticket Receipts,"2,230,370","2,150,000","2,300,000","2,100,000"
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,Booting Revenues,"1,500",0,0,0
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,PVB Court Costs/Charges,0,500,0,0
DEPARTMENT OF FINANCE,BUREAU OF THE TREASURY,Finance,Misc. Receipts,"173,709","30,000","25,000","25,000"
