Department,Office,Division,Position,Grade,Salary Range - Low,Salary Range-High,"Headcount-Current 
2015-2016","Headcount-Projected
2016-2017"
COMMON COUNCIL,COMMON COUNCIL,COMMON COUNCIL,President of the Common Council,FLAT,"$24,408","$24,408",1,1
COMMON COUNCIL,COMMON COUNCIL,COMMON COUNCIL,Councilor-at-Large,FLAT,"$21,224","$21,224",4,4
COMMON COUNCIL,COMMON COUNCIL,COMMON COUNCIL,District Councilor,FLAT,"$21,224","$21,224",5,5
COMMON COUNCIL,COMMON COUNCIL,COMMON COUNCIL,Legislative Aide,16,"$56,079","463,541",1,1
COMMON COUNCIL,COMMON COUNCIL,COMMON COUNCIL,Administrative Officer,11,"$40,221","$46,301",1,1
COMMON COUNCIL,COMMON COUNCIL,COMMON COUNCIL,Secretary to the Common Council,11,"$40,221","$46,301",2,2
CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,Program Coordinator-Citizen Review Board ,16E,"$47,675","$64,707",1,1
CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,CITIZEN REVIEW BOARD,Typist II,8,"$32,894","$38,273",1,1
EXECUTIVE DEPARTMENT,OFFICE OF THE MAYOR,OFFICE OF THE MAYOR,Mayor,FLAT,"$115,000","$115,000",1,1
EXECUTIVE DEPARTMENT,OFFICE OF THE MAYOR,OFFICE OF THE MAYOR,Chief of Staff,23E,"$89,225","$115,480",1,1
EXECUTIVE DEPARTMENT,OFFICE OF THE MAYOR,OFFICE OF THE MAYOR,Director of Mayoral Initiative ,23E,"$89,225","$115,480",1,1
EXECUTIVE DEPARTMENT,OFFICE OF THE MAYOR,OFFICE OF THE MAYOR,Executive Assistant to the Mayor,15E,"$42,571","$55,132",1,1
EXECUTIVE DEPARTMENT,OFFICE OF THE MAYOR,OFFICE OF THE MAYOR,Research and Communications Officer,11E,"$29,690","$40,014",1,1
EXECUTIVE DEPARTMENT,OFFICE OF THE MAYOR,OFFICE OF THE MAYOR,Sr. Executive Secretary (to Mayor) ,11,"$40,221","$46,301",1,1
EXECUTIVE DEPARTMENT,OFFICE OF THE MAYOR,OFFICE OF THE MAYOR,Confidential Aide,10,"$37,678","$43,761",2,2
EXECUTIVE DEPARTMENT,OFFICE OF THE MAYOR,OFFICE OF THE MAYOR,Seasonal Aide (Temporary),FLAT,$9.00,$9.00,1,1
EXECUTIVE DEPARTMENT,OFFICE OF ADMINISTRATION,OFFICE OF ADMINISTRATION,Director of Administration,23E,"$89,225","$115,480",1,1
EXECUTIVE DEPARTMENT,OFFICE OF ADMINISTRATION,OFFICE OF ADMINISTRATION,Secretary to Director of Administration,13,"$46,002","$52,768",1,1
