"block","streetName","streetType","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","class","pavement","streetID"
"0","KINGSLEY","PL","",5,2,4,606,0,"4/15","","","Local","",12572861
"100","ABERDEEN","TER","",6,3,4,530,22,"4/14","1988","O","Local","3",12581174
"100","ACADEMY","PL","",6,4,2,588,28,"4/15","","O","Local","3",12576512
"100","ACADEMY","ST","",8,4,4,325,25,"4/15","1996","O","Local","3",12571714
"100","ADAMS","ST","E",10,5,5,176,64,"6/15","2015","F","Local","6",12577644
"100","ADAMS","ST","W",8,3,5,352,64,"4/14","2000","F","Local","6",12573680
"100","AINSLEY","DR","",6,3,2,411,26,"5/14","","F","CO","3",12576914
"100","AINSLEY","DR","",6,3,2,411,26,"5/14","","F","CO","3",12576911
"100","ALANSON","RD","",5,2,5,880,18,"3/15","2004","F","Local","6",12572940
"100","ALANSON","RD","",5,2,5,880,18,"3/15","2004","F","Local","6",12571891
"100","ALANSON","RD","",5,2,5,880,18,"3/15","2004","F","Local","6",12572942
"100","ALBERT","RD","",4,2,4,327,27,"5/14","","O","Local","3",12578942
"100","ALDEN","ST","",5,2,3,792,26,"5/14","1989","O","Local","3",12576956
"100","ALEXANDER","AVE","",2,1,1,686,27,"5/14","","F","Local","4",12577333
"100","ALMOND","ST","",5,3,2,150,54,"4/14","1993","F","Local","6",12577993
"100","ALMOND","ST","",5,3,2,150,54,"4/14","1993","F","Local","6",12578006
"100","ALTON","ST","",6,3,3,1050,25,"4/14","2002","O","Local","3",13002170
"100","ALTON","ST","",6,3,3,1050,25,"4/14","2002","O","Local","3",13011484
"100","ALVORD","ST","S",5,2,3,352,32,"4/14","1987","F","Local","6",12580079
"100","AMES","AVE","",6,3,3,323,26,"6/14","","O","Local","3",12571734
"100","AMHERST","AVE","",7,4,3,557,25,"5/14","2005","F","Local","4",12576881
"100","AMIDON","DR","",4,3,1,250,27,"6/15","1994","F","Local","4",13002105
"100","AMY","ST","",8,4,4,792,27,"4/15","1994","O","Local","3",12573417
"100","ANDERSON","AVE","",6,3,4,1150,25,"5/14","1999","O","Local","3",12576600
"100","ANDOVER","RD","",6,3,5,323,21,"5/14","","O","Local","3",12577527
"100","ARCH","ST","",6,2,4,352,18,"4/15","2002","O","Local","3",12581146
"100","ARCHER","RD","",7,3,5,323,28,"3/14","2001","O","Local","3",12572325
"100","ARDEN","DR","",6,3,3,323,28,"4/14","2003","O","Local","3",12571869
"100","ARDMORE","PL","",4,2,4,247,26,"3/15","1985","O","Local","3",12580667
"100","ARDMORE","PL","",4,2,4,247,26,"3/15","1985","O","Local","3",12580665
"100","ARGONNE","DR","",4,3,3,175,22,"4/14","1989","O","Local","3",12572899
"100","ARGYLE","AVE","",3,2,3,360,25,"5/14","2005","F","Local","3",12580767
"100","ARGYLE","TER","",7,2,5,330,25,"","","F","Local","",12573198
"100","ARLINGTON","AVE","",4,2,2,500,36,"6/14","","F","Local","6",12572035
"100","ARMSTRONG","PL","",6,3,4,381,30,"5/15","1992","O","Local","3",12571903
"100","ARNTS","PL","",7,3,4,495,18,"6/15","1996","O","Local","3",12575521
